Hora y dia del Sismo,Latitud,Longitud,Magnitud,Profundidad del Hipocentro,Lugar del Epicentro
2023/06/30 00:48,36.5,140.7,4.0,50km,Alta mar de Prefectura de Ibaraki
2023/06/29 22:20,24.8,124.2,3.8,80km,Mares cercanos de Isla Ishigaki
2023/06/29 20:01,28.4,129.5,3.1,30km,Mares cercanos de Islas de Amamioshima
2023/06/29 02:27,35.0,135.6,2.2,Poco profundo,Sur de Prefectura de Kioto
2023/06/28 17:22,44.9,142.1,3.0,10km,Norte de región Soya
2023/06/28 15:02,36.4,140.6,3.1,60km,Norte de Prefectura de Ibaraki
2023/06/28 14:25,42.3,142.8,3.4,30km,Este de región Hidaka
2023/06/28 13:27,35.7,141.4,4.3,10km,Alta mar este de Prefectura de Chiba
2023/06/28 12:08,35.7,141.5,4.8,10km,Alta mar este de Prefectura de Chiba
2023/06/28 08:39,42.1,134.4,6.2,480km,Norte de Mar de Japón
2023/06/28 00:55,37.5,137.4,3.3,10km,Alta mar de Península de Noto
2023/06/27 03:24,36.2,137.1,2.3,10km,"Región Hida, Prefectura de Gifu"
2023/06/26 01:49,39.1,142.1,3.4,50km,Alta mar de Prefectura de Iwate
2023/06/25 23:52,36.5,137.8,2.9,10km,Norte de Prefectura de Nagano
2023/06/25 18:18,37.5,141.4,3.8,50km,Alta mar de Prefectura de Fukushima
2023/06/25 17:46,40.2,142.0,3.7,60km,Alta mar de Prefectura de Iwate
2023/06/25 09:07,36.0,137.5,3.0,10km,"Región Hida, Prefectura de Gifu"
2023/06/24 22:50,36.5,137.8,2.5,10km,Norte de Prefectura de Nagano
2023/06/24 21:24,37.1,140.9,3.5,100km,"Hamadori, Prefectura de Fukushima"
2023/06/24 20:39,38.5,142.1,3.8,50km,Alta mar de Prefectura de Miyagi
2023/06/24 09:58,37.3,141.8,4.9,40km,Alta mar de Prefectura de Fukushima
2023/06/24 04:04,35.0,137.8,2.9,10km,Oeste de Prefectura de Shizuoka
2023/06/24 02:39,45.8,143.2,5.8,330km,Alta mar este de Soya
2023/06/24 00:43,25.3,141.7,4.9,120km,Mares cercanos de Isla Ioto
2023/06/23 20:07,36.5,137.9,1.8,10km,Norte de Prefectura de Nagano
2023/06/23 11:57,34.0,135.3,2.6,Poco profundo,Norte de Prefectura de Wakayama
2023/06/23 07:06,34.1,135.2,2.3,10km,Norte de Prefectura de Wakayama
2023/06/22 21:47,29.9,130.0,3.1,10km,Mares cercanos de Islas Tokara
2023/06/22 19:31,43.1,141.9,4.5,160km,Sur de región Sorachi
2023/06/22 18:31,36.7,140.9,3.7,40km,Alta mar de Prefectura de Ibaraki
2023/06/22 16:39,41.6,142.1,4.1,50km,Alta mar de Uraga
2023/06/22 10:24,26.4,127.9,5.2,40km,Mares cercanos de Isla principal de Okinawa
2023/06/22 01:07,29.9,130.0,3.0,10km,Mares cercanos de Islas Tokara
2023/06/21 17:46,35.6,139.9,3.4,70km,Bahía de Tokio
2023/06/21 15:55,37.5,137.2,3.0,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/21 09:21,35.2,137.3,3.4,40km,Oeste de Prefectura de Aichi
2023/06/21 06:22,39.1,142.2,3.6,40km,Alta mar de Prefectura de Iwate
2023/06/21 06:17,35.1,137.1,3.2,40km,Oeste de Prefectura de Aichi
2023/06/21 01:10,39.1,140.9,3.3,10km,Interior sur de Prefectura de Iwate
2023/06/21 00:10,37.1,139.4,2.4,Poco profundo,"Aizu, Prefectura de Fukushima"
2023/06/20 20:10,36.5,137.8,3.9,10km,Norte de Prefectura de Nagano
2023/06/20 18:25,38.5,141.7,3.6,50km,Alta mar de Prefectura de Miyagi
2023/06/20 10:53,29.9,130.0,3.0,10km,Mares cercanos de Islas Tokara
2023/06/20 08:47,31.3,131.6,3.9,30km,Alta mar este de Península de Osumi
2023/06/20 08:44,35.9,139.6,3.8,60km,Sur de Prefectura de Saitama
2023/06/19 13:50,42.5,143.0,5.2,60km,Sur de región Tokachi
2023/06/19 10:39,29.9,130.1,3.0,10km,Mares cercanos de Islas Tokara
2023/06/19 10:32,34.7,139.3,2.9,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/19 10:31,34.7,139.3,2.9,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/19 10:26,34.7,139.3,2.3,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/19 10:19,34.8,139.3,2.2,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/19 09:44,34.8,139.3,2.6,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/19 05:37,31.3,131.6,4.2,30km,Alta mar este de Península de Osumi
2023/06/19 04:59,37.1,139.4,2.5,10km,"Aizu, Prefectura de Fukushima"
2023/06/19 01:58,31.3,131.6,4.8,30km,Alta mar este de Península de Osumi
2023/06/19 00:53,34.8,139.3,2.7,10km,Mares cercanos de Isla de Izu-Oshima
2023/06/18 19:33,36.4,137.6,3.3,10km,Este de Prefectura de Toyama
2023/06/17 20:42,41.4,142.7,4.8,50km,Alta mar este de Prefectura de Aomori
2023/06/17 20:37,47.2,148.0,5.8,450km,Sur de Mar de Okhotsk (Ohotsuku)
2023/06/17 18:37,42.2,142.9,4.1,60km,Este de región Hidaka
2023/06/17 09:26,41.2,142.9,5.7,20km,Alta mar este de Prefectura de Aomori
2023/06/17 03:49,30.0,130.0,2.2,10km,Mares cercanos de Islas Tokara
2023/06/16 21:24,35.7,140.7,4.9,50km,Nodeste de Prefectura de Chiba
2023/06/16 21:14,35.8,140.1,4.0,70km,Noroeste de Prefectura de Chiba
2023/06/16 12:53,31.6,130.3,2.3,10km,Alta mar oeste de Península de Satsuma
2023/06/16 12:20,30.0,130.0,2.4,10km,Mares cercanos de Islas Tokara
2023/06/16 03:06,22.9,176.6,7.0,210km,Pacífico Meridional
2023/06/15 16:31,37.6,137.3,3.5,10km,Alta mar de Península de Noto
2023/06/15 07:42,34.5,139.2,2.4,10km,"Mares cercanas de Isla Niijima, Kozujima"
2023/06/15 05:24,36.8,140.6,3.1,10km,Norte de Prefectura de Ibaraki
2023/06/15 03:49,37.5,137.4,2.7,10km,Alta mar de Península de Noto
2023/06/15 00:06,35.7,140.7,4.2,40km,Nodeste de Prefectura de Chiba
2023/06/14 23:25,29.2,130.5,4.3,70km,Alta mar nodeste de Amamioshima
2023/06/14 19:01,37.6,137.3,3.9,10km,Alta mar de Península de Noto
2023/06/14 08:43,29.7,129.9,2.7,10km,Mares cercanos de Islas Tokara
2023/06/14 08:30,29.7,129.9,2.4,10km,Mares cercanos de Islas Tokara
2023/06/14 08:23,29.8,129.8,3.1,10km,Mares cercanos de Islas Tokara
2023/06/13 17:03,29.7,129.8,2.5,10km,Mares cercanos de Islas Tokara
2023/06/13 15:49,29.7,129.8,2.4,10km,Mares cercanos de Islas Tokara
2023/06/13 07:32,37.5,137.2,3.3,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/12 13:51,39.4,141.9,3.8,60km,Costa norte de Prefectura de Iwate
2023/06/12 10:06,29.9,130.0,1.8,10km,Mares cercanos de Islas Tokara
2023/06/12 06:27,35.2,135.0,2.5,10km,Sudeste de Prefectura de Hyogo
2023/06/12 03:56,29.9,130.0,2.3,10km,Mares cercanos de Islas Tokara
2023/06/11 21:25,24.2,122.5,4.7,40km,Mares cercanos de Isla Yonaguni
2023/06/11 18:55,42.5,142.0,6.2,140km,Alta mar de Uraga
2023/06/11 05:53,45.2,141.8,2.7,10km,Norte de región Soya
2023/06/11 02:45,37.0,140.4,2.9,80km,"Nakadori, Prefectura de Fukushima"
2023/06/11 01:21,33.9,135.2,4.1,50km,Norte de Prefectura de Wakayama
2023/06/11 01:01,37.5,137.3,3.3,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/10 18:22,45.2,141.8,2.5,20km,Norte de región Soya
2023/06/10 17:57,38.7,142.0,3.6,60km,Alta mar de Prefectura de Miyagi
2023/06/10 06:21,37.5,137.2,3.1,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/10 03:45,34.5,139.2,2.6,10km,"Mares cercanas de Isla Niijima, Kozujima"
2023/06/10 03:41,32.9,131.0,2.1,10km,"Región Aso, Prefectura de Kumamoto"
2023/06/10 03:30,34.5,139.2,3.7,10km,"Mares cercanas de Isla Niijima, Kozujima"
2023/06/09 22:48,37.5,137.2,3.3,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/09 20:45,37.5,137.4,3.8,10km,Alta mar de Península de Noto
2023/06/09 08:35,28.7,129.4,3.7,70km,Mares cercanos de Islas de Amamioshima
2023/06/09 06:21,31.2,130.3,4.6,190km,Alta mar oeste de Península de Satsuma
2023/06/09 05:11,37.5,137.3,2.5,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/09 01:43,34.0,135.5,3.0,50km,Norte de Prefectura de Wakayama
2023/06/08 21:49,37.6,137.3,3.2,10km,Alta mar de Península de Noto
2023/06/08 21:37,35.6,140.7,3.0,40km,Alta mar este de Prefectura de Chiba
2023/06/08 19:34,37.7,141.7,4.1,70km,Alta mar de Prefectura de Fukushima
2023/06/08 18:02,32.5,130.6,2.1,10km,"Región Kumamoto, Prefectura de Kumamoto"
2023/06/08 04:54,36.5,140.5,3.6,60km,Norte de Prefectura de Ibaraki
2023/06/07 18:43,29.9,130.0,2.5,10km,Mares cercanos de Islas Tokara
2023/06/07 16:50,29.9,130.1,2.2,10km,Mares cercanos de Islas Tokara
2023/06/07 07:46,29.9,129.9,2.0,10km,Mares cercanos de Islas Tokara
2023/06/06 21:17,30.0,130.0,2.5,10km,Mares cercanos de Islas Tokara
2023/06/06 18:17,36.1,137.3,3.0,10km,"Región Hida, Prefectura de Gifu"
2023/06/06 10:26,39.6,140.6,2.7,20km,Interior sur de Prefectura de Akita
2023/06/06 07:18,30.0,130.0,2.5,10km,Mares cercanos de Islas Tokara
2023/06/06 06:25,36.8,140.6,3.8,10km,Norte de Prefectura de Ibaraki
2023/06/06 06:05,38.9,141.9,3.9,50km,Alta mar de Prefectura de Miyagi
2023/06/06 05:46,35.9,141.0,3.6,30km,Alta mar de Prefectura de Ibaraki
2023/06/06 04:52,30.0,130.0,2.7,20km,Mares cercanos de Islas Tokara
2023/06/05 21:46,36.5,141.2,3.6,40km,Alta mar de Prefectura de Ibaraki
2023/06/05 13:01,37.6,137.3,3.3,10km,Alta mar de Península de Noto
2023/06/05 11:35,38.5,142.1,4.5,40km,Alta mar de Prefectura de Miyagi
2023/06/05 10:28,34.9,132.8,2.9,10km,Norte de Prefectura de Hiroshima
2023/06/04 22:59,37.2,142.2,4.4,20km,Alta mar de Prefectura de Fukushima
2023/06/04 20:45,29.7,129.8,2.1,10km,Mares cercanos de Islas Tokara
2023/06/04 20:35,29.7,129.9,2.5,10km,Mares cercanos de Islas Tokara
2023/06/04 19:42,29.9,130.0,3.2,10km,Mares cercanos de Islas Tokara
2023/06/04 15:50,35.6,140.2,4.0,60km,Noroeste de Prefectura de Chiba
2023/06/04 14:37,39.6,140.6,2.7,10km,Interior sur de Prefectura de Akita
2023/06/04 10:58,35.8,140.1,4.6,70km,Noroeste de Prefectura de Chiba
2023/06/04 06:12,37.5,137.4,3.0,Poco profundo,Alta mar de Península de Noto
2023/06/04 04:45,29.9,130.0,2.2,10km,Mares cercanos de Islas Tokara
2023/06/04 03:57,42.9,145.5,3.5,30km,Alta mar de Kushiro
2023/06/04 02:19,29.9,130.0,2.4,10km,Mares cercanos de Islas Tokara
2023/06/04 01:17,29.9,130.0,2.8,10km,Mares cercanos de Islas Tokara
2023/06/03 19:35,42.0,142.6,5.1,60km,Alta mar de Uraga
2023/06/03 14:59,37.3,138.9,2.6,20km,"Región Chuetsu, Prefectura de Niigata"
2023/06/03 14:13,37.5,137.2,2.5,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/03 01:51,34.0,135.2,2.3,10km,Norte de Prefectura de Wakayama
2023/06/02 17:06,36.0,137.4,2.7,10km,"Región Hida, Prefectura de Gifu"
2023/06/02 16:45,41.6,140.6,3.4,10km,Estrecho de Tsugaru
2023/06/02 13:04,36.7,140.9,3.1,50km,Alta mar de Prefectura de Ibaraki
2023/06/02 06:36,29.9,130.0,2.1,10km,Mares cercanos de Islas Tokara
2023/06/02 02:57,36.0,137.4,2.5,Poco profundo,"Región Hida, Prefectura de Gifu"
2023/06/02 02:55,36.1,137.4,2.8,10km,"Región Hida, Prefectura de Gifu"
2023/06/01 22:14,30.0,130.0,2.4,10km,Mares cercanos de Islas Tokara
2023/06/01 20:47,29.9,130.0,2.4,10km,Mares cercanos de Islas Tokara
2023/06/01 20:27,29.9,130.0,3.1,10km,Mares cercanos de Islas Tokara
2023/06/01 20:11,30.0,129.9,3.6,10km,Mares cercanos de Islas Tokara
2023/06/01 19:34,29.9,130.0,2.1,10km,Mares cercanos de Islas Tokara
2023/06/01 17:49,30.0,130.0,2.2,10km,Mares cercanos de Islas Tokara
2023/06/01 16:40,28.3,129.6,3.5,30km,Mares cercanos de Islas de Amamioshima
2023/06/01 15:00,29.9,130.1,2.4,10km,Mares cercanos de Islas Tokara
2023/06/01 12:04,36.2,141.2,3.6,30km,Alta mar de Prefectura de Ibaraki
2023/06/01 11:58,29.9,130.0,2.2,10km,Mares cercanos de Islas Tokara
2023/06/01 11:42,29.9,130.0,2.1,Poco profundo,Mares cercanos de Islas Tokara
2023/06/01 11:32,29.9,130.0,2.4,Poco profundo,Mares cercanos de Islas Tokara
2023/06/01 11:28,29.9,130.0,4.4,10km,Mares cercanos de Islas Tokara
2023/06/01 10:29,29.9,130.0,2.4,10km,Mares cercanos de Islas Tokara
2023/06/01 00:03,38.7,142.3,4.4,40km,Alta mar de Prefectura de Miyagi
2023/06/01 00:03,37.5,137.4,4.2,10km,Alta mar de Península de Noto
2023/05/31 23:41,35.7,140.8,3.4,50km,Alta mar este de Prefectura de Chiba
2023/05/31 21:15,33.9,135.2,2.6,10km,Norte de Prefectura de Wakayama
2023/05/31 20:12,34.2,133.5,3.3,10km,Centro de Mar interior de Seto
2023/05/31 15:20,33.8,135.0,3.1,10km,Canal de Kii
2023/05/31 10:04,38.9,142.0,3.7,50km,Alta mar de Prefectura de Miyagi
2023/05/31 07:49,33.4,139.3,4.3,10km,Mares cercanos de Isla de Hachijyo
2023/05/31 04:06,36.0,137.4,2.8,10km,"Región Hida, Prefectura de Gifu"
2023/05/31 03:41,37.5,137.3,2.5,10km,"Región Noto, Prefectura de Ishikawa"
